,제목,예배,설교자,본문,날짜,교회
0,말씀대로 행하라,주일예배,김경진 목사,요 2:1~5,2020-09-27,소망교회
1,믿음이 더 필요하십니까,주일예배,김경진 목사,눅 17:5~10,2020-09-20,소망교회
2,고난당하는 자는 나로다,주일예배,김경진 목사,애 3:19~25,2020-09-13,소망교회
3,우리의 허물을 용서하소서,주일예배,김경진 목사,레 4:1~4,2020-09-06,소망교회
4,빛이요 소금이라,주일예배,김경진 목사,마 5:13~16,2020-08-30,소망교회
5,어떤 집에 사십니까,주일예배,김경진 목사,요 15:4~8,2020-08-23,소망교회
6,믿음으로 하나님을 기쁘시게,주일예배,박경수 목사,히 11:1~7,2020-08-16,소망교회
7,믿음으로 하나님을 기쁘시게,주일예배,한정운 목사,히 11:1~7,2020-08-16,소망교회
8,믿음으로 하나님을 기쁘시게,주일예배,이경희 목사,히 11:1~7,2020-08-16,소망교회
9,자유자의 노래,주일예배,김경진 목사,출 15:1~5,2020-08-09,소망교회
10,세월을 아끼라,주일예배,김경진 목사,엡 5:15~21,2020-08-02,소망교회
11,하나님의 뜻은 어디에 있는가,주일예배,김경진 목사,갈 1:4~5,2020-07-26,소망교회
12,나 혼자만 살 수 없습니다,주일예배,김경진 목사,갈 5:13~15,2020-07-19,소망교회
13,주 앞에서 숨겨지지 못하리라,주일예배,김경진 목사,시 139:1~10,2020-07-12,소망교회
14,나는 긍휼을 입은 자인가,주일예배,김경진 목사,엡 3:1~4,2020-07-05,소망교회
15,내가 긍휼을 입은 이유,주일예배,김경진 목사,딤전 1:12~17,2020-06-28,소망교회
16,내가 이 자리에 있는 이유,주일예배,김경진 목사,느 1:4~11,2020-06-21,소망교회
17,거짓말하지 말지니라,주일예배,김경진 목사,레 19:11~12,2020-06-14,소망교회
18,반석에서 물이 나오리라,주일예배,김경진 목사,출 17:5~7,2020-06-07,소망교회
19,성령이 충만한 사람,주일예배,김경진 목사,행 6:2~6,2020-05-31,소망교회
20,아는 것과 믿는 것,주일예배,김경진 목사,삼상 3:16~18,2020-05-24,소망교회
21,함께 걸어가는 길,주일예배,김경진 목사,사 41:8~13,2020-05-17,소망교회
22,"험악한 세월, 축복의 토대",주일예배,김경진 목사,창 47:7~12,2020-05-10,소망교회
23,공감의 능력을 주소서,주일예배,김경진 목사,골 3:12~14,2020-05-03,소망교회
24,"부활신앙, 새 사람",주일예배,김경진 목사,롬 12:4~8,2020-04-26,소망교회
25,"부활하신 주님, 살리시는 주님",주일예배,김경진 목사,요 21:12~17,2020-04-19,소망교회
26,우리는 어떻게 부활에 참여하는가,주일예배,김경진 목사,롬 6:3~9,2020-04-12,소망교회
27,세족예식으로 드리는 고난주간 목요예배 - 너희도 서로 사랑하라,주일예배,김경진 목사,"요 13:1~17, 31~35",2020-04-09,소망교회
28,우리는 어떻게 고난에 참여하는가,주일예배,김경진 목사,골 1:24,2020-04-05,소망교회
29,거룩으로 나아가기,주일예배,김경진 목사,시 73:23~28,2020-03-29,소망교회
30,거룩한 거리두기,주일예배,김경진 목사,레 19:2,2020-03-22,소망교회
31,기쁨으로 돌아오리라,주일예배,김경진 목사,시 126:1~6,2020-03-15,소망교회
32,착한 그리스도인,주일예배,김경진 목사,행 11:19~30,2020-03-08,소망교회
33,내가 잠시 그들에게 성소가 되리라,주일예배,김경진 목사,겔 11:14~21,2020-03-01,소망교회
34,믿는 자는 기도하라,주일예배,김경진 목사,삿 6:6~10,2020-02-23,소망교회
35,무엇을 인간이라 하는가,주일예배,김경진 목사,전 9:7~10,2020-02-16,소망교회
36,흠 없게 보전되기를 원하노라,주일예배,김경진 목사,살전 5:14~22,2020-02-09,소망교회
37,안심하라,주일예배,김경진 목사,막 6:45~52,2020-02-02,소망교회
38,조상은 우리의 복에 관여하는가?,주일예배,김경진 목사,"신 6:1~3, 20~25",2020-01-26,소망교회
39,주님께서 찾아오시다,주일예배,김경진 목사,요 4:1~8,2020-01-19,소망교회
40,주님께서 찾아오시다,주일예배,윤환 목사,요 4:1~8,2020-01-19,소망교회
41,포로에게 말씀하시다,주일예배,김경진 목사,렘 29:11~14,2020-01-12,소망교회
42,복된 선택,주일예배,김경진 목사,시 1:1~6,2020-01-05,소망교회
43,"2020년 새해 감사 예배 - 새해 첫날, 무엇을 할 것인가?",주일예배,김경진 목사,출 40:17~21,2020-01-01,소망교회
44,성탄이후 - 달라진 것은 없습니다,주일예배,김경진 목사,마 2:13~23,2019-12-29,소망교회
45,"2019년 성탄예배 - 구유에 누인 아기, 예수",주일예배,김경진 목사,눅 2:1~7,2019-12-25,소망교회
46,징조를 네게 보이리라,주일예배,김경진 목사,사 7:10~16,2019-12-22,소망교회
47,무엇을 보려고 나갔더냐,주일예배,김경진 목사,마 11:2~6,2019-12-15,소망교회
48,인간은 약속이다,주일예배,김경진 목사,벧후 3:8~13,2019-12-08,소망교회
49,너희는 깨어 있으라,주일예배,김경진 목사,마 24:36~44,2019-12-01,소망교회
50,너의 마음을 드리라,주일예배,김경진 목사,고후 11:1~3,2019-11-24,소망교회
51,부르짖은 자의 감사,주일예배,김경진 목사,시 107:1~9,2019-11-17,소망교회
52,신을 벗고 받은 소명,주일예배,김경진 목사,출 3:1~5,2019-11-10,소망교회
53,정의로 가는 길,주일예배,김경진 목사,약 3:13~18,2019-11-03,소망교회
54,처음으로 돌아갑시다,주일예배,김경진 목사,계 2:1~7,2019-10-27,소망교회
55,마라에서 엘림까지,주일예배,김경진 목사,출 15:22~27,2019-10-20,소망교회
56,회개의 열매를 맺으라,주일예배,김경진 목사,눅 3:7~14,2019-10-13,소망교회
57,신성한 성품을 가진 교회,주일예배,김경진 목사,벧후 1:1~4,2019-10-06,소망교회
58,게하시의 항변,주일예배,김경진 목사,왕하 5:20~27,2019-09-29,소망교회
59,"향기로운 냄새, 번제를 드리라",주일예배,김경진 목사,레 1:1~9,2019-09-22,소망교회
60,염려하는 사람을 위한 염려,주일예배,김경진 목사,마 6:25~32,2019-09-15,소망교회
61,무화과나무가 마른 이유,주일예배,김경진 목사,"막 11:15~18, 23~24",2019-09-08,소망교회
62,벧엘이 된 어떤 곳,주일예배,김경진 목사,창 28:10~19,2019-09-01,소망교회
63,"살리는 사람, 살아나는 세상",주일예배,김경진 목사,룻 4:13~17,2019-08-25,소망교회
64,여호와는 나의 목자,주일예배,박경수 목사,시 23:1~6,2019-08-18,소망교회
65,여호와는 나의 목자,주일예배,유지미 목사,시 23:1~6,2019-08-18,소망교회
66,여호와는 나의 목자,주일예배,계재광 목사,시 23:1~6,2019-08-18,소망교회
67,시온이여 깰지어다,주일예배,김경진 목사,사 51:7~12,2019-08-11,소망교회
68,겉옷 하나는 준비합시다,주일예배,김경진 목사,창 9:20~27,2019-08-04,소망교회
69,다르게 보기,주일예배,김경진 목사,눅 19:1~10,2019-07-28,소망교회
70,"뚫린 지붕, 열린 하늘",주일예배,김경진 목사,막 2:1~5,2019-07-21,소망교회
71,"뚫린 지붕, 열린 하늘",주일예배,주요한 목사,막 2:1~5,2019-07-21,소망교회
72,지나쳐간 가나안,주일예배,김경진 목사,창 12:1~9,2019-07-14,소망교회
73,"움켜쥐고 산 사람, 야곱",주일예배,김경진 목사,창 32:22~28,2019-07-07,소망교회
74,불완전하라,주일예배,김경진 목사,전 7:15~18,2019-06-30,소망교회
75,"예수, 새로운 살 길",주일예배,김경진 목사,히 10:19~20,2019-06-23,소망교회
76,예배자의 유혹,주일예배,김경진 목사,출 8:25~32,2019-06-16,소망교회
77,광야로 이끄시는 성령,주일예배,김경진 목사,막 1:9~13,2019-06-09,소망교회
78,포도원지기의 무화과나무,주일예배,김경진 목사,눅 13:6~9,2019-06-02,소망교회
79,일보다 중한 것,주일예배,김경진 목사,출 4:24~26,2019-05-26,소망교회
80,발이 물에 잠길 때,주일예배,김경진 목사,수 3:14~17,2019-05-19,소망교회
81,발이 물에 잠길 때(5부예배),주일예배,주요한 목사,수 3:14~17,2019-05-19,소망교회
82,사랑은 어디서 오는가,주일예배,김경진 목사,막 1:9~11,2019-05-12,소망교회
83,아이에게서 배우라,주일예배,김경진 목사,마 18:1~6,2019-05-05,소망교회
84,"평강, 성령, 그리고 용서",주일예배,김경진 목사,요 20:19~23,2019-04-28,소망교회
85,다시 사신 주님,주일예배,김경진 목사,"고전 15:1~8, 17~20",2019-04-21,소망교회
86,사랑은 어디에 있는가,주일예배,김경진 목사,요일 4:9~11,2019-04-14,소망교회
87,"주님의 손, 우리의 손",주일예배,김경진 목사,마 26:20~25,2019-04-07,소망교회
88,"유다여, 가룟 유다여!",주일예배,김경진 목사,요 13:21~30,2019-03-31,소망교회
89,태초에 관계가 있었다,주일예배,김경진 목사,엡 2:14~18,2019-03-24,소망교회
90,나는 롯입니다,주일예배,김경진 목사,벧후 2:4~8,2019-03-17,소망교회
91,예수님은 누구신가,주일예배,김경진 목사,마 11:2~6,2019-03-10,소망교회
92,절망에서 희망을 노래하다,주일예배,김경진 목사,애 3:17~24,2019-03-03,소망교회
93,마리아야 나오라,주일예배,김경진 목사,요 11:17~30,2019-02-24,소망교회
94,요셉에게 형통이란 무엇인가,주일예배,김경진 목사,"창 39:1~6, 19~23",2019-02-17,소망교회
95,"예수, 손을 내미시다",주일예배,김경진 목사,마 8:1~4,2019-02-10,소망교회
96,하나님 나라의 포용성과 엄격성,주일예배,김경진 목사,막 9:38~43,2019-02-03,소망교회
97,야이로의 절망,주일예배,김경진 목사,"막 5:21~24, 35~43",2019-01-27,소망교회
98,다시 칭찬받는 청지기로!,주일예배,김경진 목사,눅 16:1~9,2019-01-20,소망교회
99,하나님은 예술가이시다,주일예배,김경진 목사,창 1:31,2019-01-13,소망교회
100,말씀으로 살리라,주일예배,김경진 목사,벧전 1:23~25,2019-01-06,소망교회
101,2019년 새해 감사 예배 - “우리로 번영케 하소서”,주일예배,김경진 목사,신 30:15~16,2019-01-01,소망교회
102,˝나의 힘이신 여호와여 내가 주를 사랑하나이다˝,주일예배,김지철 목사,시 18:1,2018-12-30,소망교회
103,"2018년 성탄예배 - 하늘에는 영광, 땅에서는 평화",주일예배,김지철 목사,눅 2:8~14,2018-12-25,소망교회
104,"성탄, 하나님 자녀됨의 복",주일예배,김지철 목사,요 1:9~13,2018-12-23,소망교회
105,“내가 주님을 사랑하나이다”(베드로 5),주일예배,김지철 목사,요 21:15~17,2018-12-16,소망교회
106,“밖에 나가서 심히 통곡하니라” (베드로 4),주일예배,김지철 목사,눅 22:54~62,2018-12-09,소망교회
107,“너희는 나를 누구라 하느냐”(베드로 3),주일예배,김지철 목사,막 8:27~34,2018-12-02,소망교회
108,"나다, 두려워하지 말라!(베드로 2)",주일예배,김지철 목사,마 14:24~33,2018-11-25,소망교회
109,"감사, 감사, 또 감사!",주일예배,김지철 목사,시 100:1~5,2018-11-18,소망교회
110,물질보다 사람이 먼저다(베드로 1),주일예배,김지철 목사,눅 5:5~11,2018-11-11,소망교회
111,생명을 누리는 교회,주일예배,김경진 목사,요 20:31,2018-11-04,소망교회
112,"교회(7), “차든지 뜨겁든지”",주일예배,김지철 목사,계 3:14~22,2018-10-28,소망교회
113,"교회(6), 작지만 큰 능력의 교회",주일예배,김지철 목사,계 3:7~13,2018-10-21,소망교회
114,"교회(5), 하나님 앞에서 살아가라!",주일예배,김지철 목사,계 3:1~6,2018-10-14,소망교회
115,우리는 주님의 움직이는 교회,주일예배,김지철 목사,롬 12:1~5,2018-10-07,소망교회
116,"교회(4), 지금 회개하라!",주일예배,김지철 목사,계 2:18~29,2018-09-30,소망교회
117,주님을 향한 온전한 사랑,주일예배,김지철 목사,마 10:34~39,2018-09-23,소망교회
